ID;Name;Model;DataCategory;Description;IsHidden;StorageMode;TableStorage;Expression;ShowAsVariationOnly;IsPrivate;CalculationGroupPrecedence;LineageTag
347685;"LABORATORIOS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (347685)";"";False;False;;"00203f5e-9bd8-49cf-8c8d-b8129d0551c8"
377358;"LocalDateTable_ec332c3e-3cd8-4bc7-9922-5cae65708026";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable ec332c3e 3cd8 4bc7 9922 5cae65708026 (377358)";"Calendar(Date(Year(MIN('OPORTUNIDAD_TRIAGE'[HCTFECTRI])), 1, 1), Date(Year(MAX('OPORTUNIDAD_TRIAGE'[HCTFECTRI])), 12, 31))";True;False;;"1c0fcce4-b650-40f0-aa07-c07b3524d204"
379400;"LocalDateTable_3e054006-feb4-4b6c-9598-abf3ebf09cff";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 3e054006 feb4 4b6c 9598 abf3ebf09cff (379400)";"Calendar(Date(Year(MIN('OPORTUNIDAD_TRIAGE'[FECHA_TRIAGE])), 1, 1), Date(Year(MAX('OPORTUNIDAD_TRIAGE'[FECHA_TRIAGE])), 12, 31))";True;False;;"17541584-21aa-485f-9055-419577d4eec4"
397264;"QUIMIOTERAPIA";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (397264)";"";False;False;;"c0b5ab8d-2372-486a-9ea3-b05b3f892d0b"
397267;"LocalDateTable_3daccb3b-4045-4270-af5e-a142c5b7af71";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 3daccb3b 4045 4270 af5e a142c5b7af71 (397267)";"Calendar(Date(Year(MIN('QUIMIOTERAPIA'[FECHA_ADMISION])), 1, 1), Date(Year(MAX('QUIMIOTERAPIA'[FECHA_ADMISION])), 12, 31))";True;False;;"8a5ddc9b-86a4-488c-a90a-09a66cfdb372"
398299;"LocalDateTable_6cc69554-6ebc-4352-8ca1-3ad90ce2be7e";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 6cc69554 6ebc 4352 8ca1 3ad90ce2be7e (398299)";"Calendar(Date(Year(MIN('QUIMIOTERAPIA'[FECHA])), 1, 1), Date(Year(MAX('QUIMIOTERAPIA'[FECHA])), 12, 31))";True;False;;"2e0cb37a-9d8a-4bca-a40f-c0ad3568519b"
407823;"RADIOTERAPIA";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (407823)";"";False;False;;"e4a5332f-529c-4988-b74b-2d8aa7257141"
407826;"LocalDateTable_c2b3ba0f-3b43-459e-9993-f1222cff83b8";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable c2b3ba0f 3b43 459e 9993 f1222cff83b8 (407826)";"Calendar(Date(Year(MIN('RADIOTERAPIA'[FECHA_ADMISION])), 1, 1), Date(Year(MAX('RADIOTERAPIA'[FECHA_ADMISION])), 12, 31))";True;False;;"d43a78cd-9bd8-476f-8461-e98d66fa7e89"
407829;"LocalDateTable_6c66b7fe-0cf1-4a09-980c-0ea12f65e138";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 6c66b7fe 0cf1 4a09 980c 0ea12f65e138 (407829)";"Calendar(Date(Year(MIN('RADIOTERAPIA'[FECHA])), 1, 1), Date(Year(MAX('RADIOTERAPIA'[FECHA])), 12, 31))";True;False;;"f4f579c6-df85-4ad4-88dd-fa101d712659"
409199;"UNIDAD CARDIONEUROVASCULAR";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (409199)";"";False;False;;"fb2f0dc0-bae5-4a89-87f0-2bd6c504f344"
409202;"LocalDateTable_7728cfe5-1b4f-49eb-981b-d9eb4256b6d3";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 7728cfe5 1b4f 49eb 981b d9eb4256b6d3 (409202)";"Calendar(Date(Year(MIN('UNIDAD CARDIONEUROVASCULAR'[FECHA_SERVICIO])), 1, 1), Date(Year(MAX('UNIDAD CARDIONEUROVASCULAR'[FECHA_SERVICIO])), 12, 31))";True;False;;"1ce6e095-010f-4a64-bcc7-e996adfa6892"
409205;"LocalDateTable_6af4337a-a6f2-43bc-a9ed-0af09b2d21e1";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 6af4337a a6f2 43bc a9ed 0af09b2d21e1 (409205)";"Calendar(Date(Year(MIN('UNIDAD CARDIONEUROVASCULAR'[FECHA])), 1, 1), Date(Year(MAX('UNIDAD CARDIONEUROVASCULAR'[FECHA])), 12, 31))";True;False;;"7c0eed3c-45b1-4a35-8a55-e88a8df4dd3f"
499661;"LocalDateTable_af14d455-f62f-4477-9f8e-3d4e989c8288";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable af14d455 f62f 4477 9f8e 3d4e989c8288 (499661)";"Calendar(Date(Year(MIN('PARTOS'[FechaParto])), 1, 1), Date(Year(MAX('PARTOS'[FechaParto])), 12, 31))";True;False;;"b5498a15-4596-4a43-abf9-a7b12b7dabd3"
